"x"
"Consumption"
"GDP|MER"
"GDP|PPP"
"Energy Investments"
"Investments|Non-ESM"
"Population"
"Capital Stock|Non-ESM"
"Investments"
"CES_input|feelt"
"CES_input|fepet"
"CES_input|fedie"
"CES_input|feelb"
"CES_input|fegab"
"CES_input|fehob"
"CES_input|fesob"
"CES_input|feheb"
"CES_input|feh2b"
"CES_input|feeli"
"CES_input|fegai"
"CES_input|fehoi"
"CES_input|fesoi"
"CES_input|fehei"
"CES_input|feh2i"
"Damage factor"
"Interest Rate (t+1)/(t-1)|Real"
"Interest Rate t/(t-1)|Real"
"Trade|Coal"
"Trade|Imports|Coal"
"Trade|Exports|Coal"
"Trade|Gas"
"Trade|Imports|Gas"
"Trade|Exports|Gas"
"Trade|Oil"
"Trade|Imports|Oil"
"Trade|Exports|Oil"
"Trade|Uranium|Mass"
"Trade|Uranium|seelEquivalent"
"Trade|Imports|Uranium"
"Trade|Exports|Uranium"
"Trade|Goods"
"Trade|Imports|Goods"
"Trade|Exports|Goods"
"Trade|Biomass"
"Trade|Imports|Biomass"
"Trade|Exports|Biomass"
"Trade|Emi Allowances|Volume"
"Trade|Imports|Emi Allowances|Volume"
"Trade|Exports|Emi Allowances|Volume"
"Trade|Primary Energy|Coal|Value"
"Trade|Primary Energy|Gas|Value"
"Trade|Primary Energy|Oil|Value"
"Trade|Uranium|Value"
"Trade|Biomass|Value"
"Trade|Emi Allowances|Value"
"Trade|All|Value"
"Current Account"
"Tax rate|Final Energy|Transportation|Liquids|Oil"
"Subsidy rate|Final Energy|Transportation|Liquids|Oil"
"FE|Transportation|Liquids"
"Taxes|Final Energy|Transportation|Liquids|Oil"
"Subsidies|Final Energy|Transportation|Liquids|Oil"
"Taxes|Final Energy|Transportation"
"Subsidies|Final Energy|Transportation"
"Tax rate|Final Energy|Buildings|Solids"
"Subsidy rate|Final Energy|Buildings|Solids"
"Taxes|Final Energy|Buildings|Solids"
"Subsidies|Final Energy|Buildings|Solids"
"Tax rate|Final Energy|Buildings|Liquids"
"Subsidy rate|Final Energy|Buildings|Liquids"
"Taxes|Final Energy|Buildings|Liquids"
"Subsidies|Final Energy|Buildings|Liquids"
"Tax rate|Final Energy|Buildings|Gases"
"Subsidy rate|Final Energy|Buildings|Gases"
"Taxes|Final Energy|Buildings|Gases"
"Subsidies|Final Energy|Buildings|Gases"
"Tax rate|Final Energy|Buildings|Electricity"
"Subsidy rate|Final Energy|Buildings|Electricity"
"Taxes|Final Energy|Buildings|Electricity"
"Subsidies|Final Energy|Buildings|Electricity"
"Taxes|Final Energy|Buildings"
"Subsidies|Final Energy|Buildings"
"Tax rate|Final Energy|Buildings"
"Subsidy rate|Final Energy|Buildings"
"Taxes|Final Energy|Industry|Solids"
"Tax rate|Final Energy|Industry|Solids"
"Subsidies|Final Energy|Industry|Solids"
"Subsidy rate|Final Energy|Industry|Solids"
"Taxes|Final Energy|Industry|Liquids"
"Tax rate|Final Energy|Industry|Liquids"
"Subsidies|Final Energy|Industry|Liquids"
"Subsidy rate|Final Energy|Industry|Liquids"
"Taxes|Final Energy|Industry|Gases"
"Tax rate|Final Energy|Industry|Gases"
"Subsidies|Final Energy|Industry|Gases"
"Subsidy rate|Final Energy|Industry|Gases"
"Taxes|Final Energy|Industry|Hydrogen"
"Tax rate|Final Energy|Industry|Hydrogen"
"Subsidies|Final Energy|Industry|Hydrogen"
"Subsidy rate|Final Energy|Industry|Hydrogen"
"Taxes|Final Energy|Industry|Heat"
"Tax rate|Final Energy|Industry|Heat"
"Subsidies|Final Energy|Industry|Heat"
"Subsidy rate|Final Energy|Industry|Heat"
"Taxes|Final Energy|Industry|Electricity"
"Tax rate|Final Energy|Industry|Electricity"
"Subsidies|Final Energy|Industry|Electricity"
"Subsidy rate|Final Energy|Industry|Electricity"
"Taxes|Final Energy|Industry"
"Subsidies|Final Energy|Industry"
"Tax rate|Final Energy|Industry"
"Subsidy rate|Final Energy|Industry"
"Taxes|Final Energy|Buildings and Industry|Solids"
"Taxes|Final Energy|Buildings and Industry|Liquids"
"Taxes|Final Energy|Buildings and Industry|Gases"
"Taxes|Final Energy|Buildings and Industry|Electricity"
"Subsidies|Final Energy|Buildings and Industry|Solids"
"Subsidies|Final Energy|Buildings and Industry|Liquids"
"Subsidies|Final Energy|Buildings and Industry|Gases"
"Subsidies|Final Energy|Buildings and Industry|Electricity"
"Taxes|Final Energy|Buildings and Industry"
"Subsidies|Final Energy|Buildings and Industry"
"Tax rate|Final Energy|Buildings and Industry|Solids"
"Tax rate|Final Energy|Buildings and Industry|Liquids"
"Tax rate|Final Energy|Buildings and Industry|Gases"
"Tax rate|Final Energy|Buildings and Industry|Electricity"
"Tax rate|Final Energy|Buildings and Industry"
"Subsidy rate|Final Energy|Buildings and Industry|Solids"
"Subsidy rate|Final Energy|Buildings and Industry|Liquids"
"Subsidy rate|Final Energy|Buildings and Industry|Gases"
"Subsidy rate|Final Energy|Buildings and Industry|Electricity"
"Subsidy rate|Final Energy|Buildings and Industry"
"Taxes|Final Energy"
"Subsidies|Final Energy"
"Subsidy Rate|Fuel Extraction|Coal"
"Subsidy Rate|Fuel Extraction|Oil"
"Subsidy Rate|Fuel Extraction|Natural Gas"
"Subsidies|Fuel Extraction|Coal"
"Subsidies|Fuel Extraction|Oil"
"Subsidies|Fuel Extraction|Natural Gas"
"Subsidies|Fuel Extraction"
