"x"
"AvailableFe"
"CHP.Generation.seel"
"CHP.Generation_PJ.seel"
"CHP.Capacity.seel"
"CHP.Generation_share.seel"
"CHP.heat.sehe"
"CHP.Capacity_by_fuel"
"CHP.Capacity_by_fuel.seso.seso"
"CHP.Capacity_by_fuel.seliq.seliq"
"CHP.Capacity_by_fuel.sega.sega"
"CHP.Capacity_by_fuel.seel.renewables and waste"
"CHP.Capacity_by_fuel.other"
"Consumption.other"
"Consumption.seso.other"
"Consumption.seso.pehardcoal"
"Consumption.seso.pelignite"
"Consumption.seso.peoil"
"Consumption.seliq.other"
"Consumption.seliq.peoil"
"Consumption.sega.other"
"Consumption.sega.pegas"
"Consumption.seel.peur"
"Consumption.seel.other renewables"
"Consumption.seel.pehyd"
"Consumption.seel.pewind"
"Consumption.seel.pesolar"
"Consumption.seel.ocean"
"Consumption.seel.pebio"
"Consumption.seel.pegeo"
"Consumption.seel.other"
"Consumption.sehe"
"Consumption.seel.waste"
"DistributionLosses"
"Electricity.Generation.seel.seso"
"Electricity.Generation.seel.seliq"
"Electricity.Generation.seel.sega"
"Electricity.Generation.seel.peur"
"Electricity.Generation.seel.other renewables"
"Electricity.Generation.seel.pehyd"
"Electricity.Generation.seel.pehyd (pump)"
"Electricity.Generation.seel.pewin"
"Electricity.Generation.seel.pebio"
"Electricity.Generation.seel.pesolar"
"Electricity.Generation.seel.pegeo"
"Electricity.Generation.seel.ocean"
"Electricity.Generation.seel.waste"
"Electricity.Generation.seel.other"
"Electricity.Generation_byType.Other"
"Electricity.Generation_byType.Electricity"
"Electricity.Generation_byType.CHP"
"Electricity.Generation_byType.Autoproducer_Electricity"
"Electricity.Generation_byType.Autoproducer_chp"
"Electricity.Capacity.seel.other"
"Electricity.Capacity.seel.other combustible fuels"
"Electricity.Capacity.seel.municipal waste"
"Electricity.Capacity.seel.industrial waste"
"Electricity.Capacity.seel.seso.pebio"
"Electricity.Capacity.seel.seliq.pebio"
"Electricity.Capacity.seel.sega.pebio"
"Electricity.Capacity.seel.other fossils"
"Electricity.Capacity.seel.peur"
"Electricity.Capacity.seel.pehyd"
"Electricity.Capacity.seel.pewin"
"Electricity.Capacity.seel.pesolar.spv"
"Electricity.Capacity.seel.pesolar.csp"
"Electricity.Capacity.seel.pegeo"
"Electricity.Capacity.seel.ocean"
"Emissions.co2.other.other"
"Emissions.co2.energy.supply.other"
"Emissions.co2.energy.supply.Public Electricity and Heat Production"
"Emissions.co2.energy.supply.Petroleum Refining"
"Emissions.co2.energy.supply.Manufacture of Solid Fuels and Other Energy Industries"
"Emissions.co2.energy.demand.industry.other"
"Emissions.co2.energy.demand.industry.Iron and Steel"
"Emissions.co2.energy.demand.industry.Non-Ferrous Metals"
"Emissions.co2.energy.demand.industry.Chemicals"
"Emissions.co2.energy.demand.industry.Pulp, Paper and Print"
"Emissions.co2.energy.demand.industry.Food Processing, Beverages and Tobacco"
"Emissions.co2.energy.demand.industry.Non-metallic minerals"
"Emissions.co2.energy.demand.industry.Other Manufacturing Industries and Constructions"
"Emissions.co2.energy.demand.Transport.Other"
"Emissions.co2.energy.demand.Transport.Domestic Aviation"
"Emissions.co2.energy.demand.Transport.Road Transportation"
"Emissions.co2.energy.demand.Transport.Railways"
"Emissions.co2.energy.demand.Transport.Domestic Navigation"
"Emissions.co2.energy.demand.Transport.Other Transportation"
"Emissions.co2.energy.demand.Residential and Commercial.Commercial/Institutional"
"Emissions.co2.energy.demand.Residential and Commercial.Residential"
"Emissions.co2.energy.demand.AFOFI"
"Emissions.co2.energy.demand.other sectors"
"Emissions.co2.energy.demand.other"
"Emissions.co2.Industrial Processes"
"Emissions.co2.AFOLU.Agriculture"
"Emissions.co2.other.Waste and Others"
"Emissions.co2.other.Indirect CO2"
"Emissions.co2.other.International aviation"
"Emissions.co2.other.International maritime transport"
"Emissions.GHG.other.other"
"Emissions.GHG.energy.supply.other"
"Emissions.GHG.energy.supply.other.Public Electricity and Heat Production"
"Emissions.GHG.energy.supply.other.Petroleum Refining"
"Emissions.GHG.energy.supply.other.Manufacture of Solid Fuels and Other Energy Industries"
"Emissions.GHG.energy.demand.industry.other"
"Emissions.GHG.energy.demand.industry.Iron and Steel"
"Emissions.GHG.energy.demand.industry.Non-Ferrous Metals"
"Emissions.GHG.energy.demand.industry.Chemicals"
"Emissions.GHG.energy.demand.industry.Pulp, Paper and Print"
